shingle#females#males#total
!!!!#6#4#10
!!!?#0#1#1
!!!c#0#1#1
!!!m#0#1#1
!!!n#1#0#1
!!@@#0#1#1
!!c@#0#1#1
!!ma#0#1#1
!!na#1#0#1
!!ne#1#0#1
!!¬™#0#1#1
!!¬ø#1#1#2
!$n@#0#1#1
!$t!#0#1#1
!&n&#1#0#1
!.¬ø#1#0#1
!100#1#0#1
!3g0#0#1#1
!?!?#1#0#1
!??!#1#0#1
!@//#1#0#1
!@@$#0#1#1
!@n&#1#0#1
!@n@#1#0#1
!@ne#1#0#1
!@vo#0#1#1
!@¬ø#1#0#1
!c!u#0#1#1
!c0n#0#1#1
!c@r#0#1#1
!com#0#1#1
!coo#1#0#1
!eva#0#1#1
!l@(#1#0#1
!lv!#0#1#1
!mat#0#1#1
!mel#0#1#1
!n!c#0#1#1
!nan#1#0#1
!net#1#0#1
!nh@#1#0#1
!que#0#1#1
!rda#0#1#1
!spo#0#1#1
!t@l#0#1#1
!vio#0#1#1
!viv#1#0#1
!zab#1#0#1
!ze&#1#0#1
!¬™n#1#0#1
!¬ø¬#4#0#4
"""""$@"#0#1#1
"""$@m"#0#1#1
"""**e"#0#1#1
"""bru"#0#1#1
"""doi"#0#1#1
"""ell"#1#0#1
"""lel"#1#0#1
"""ody"#1#0#1
$!!!#0#1#1
$!&n#1#0#1
$!@v#0#1#1
$!lv#0#1#1
$$!!#0#1#1
$$$$#0#3#3
$$$a#0#2#2
$$$g#1#0#1
$$$h#0#1#1
$$$l#0#1#1
$$ad#0#1#1
$$ae#0#1#1
$$ga#1#0#1
$$hu#0#1#1
$$lo#0#1#1
$$lu#0#1#1
$$ne#0#1#1
$$pa#1#0#1
$%$%#0#1#1
$%$5#0#1#1
$%¬®#0#1#1
$%¬ø#0#1#1
$&&b#1#0#1
$.p.#0#1#1
$@mu#0#1#1
$adr#0#2#2
$aen#0#1#1
$ale#1#0#1
$alm#1#0#1
$amu#0#1#1
$bri#0#1#1
$cri#1#0#1
$fab#0#1#1
$fat#1#0#1
$gab#1#0#1
$hum#0#1#1
$idn#0#1#1
$ilv#0#1#1
$lor#0#2#2
$lua#0#1#1
$mar#0#1#1
$n@h#0#1#1
$neg#0#1#1
$olu#0#1#1
$pau#1#0#1
$ped#0#1#1
$t!@#0#1#1
$t@v#0#1#1
